id,enhanceType,type,param1,param2,caption
166,5,19,100,0,48
167,5,19,125,0,48
168,5,19,150,0,48
169,5,19,175,0,48
170,5,19,200,0,48
171,5,32,1,1,49
172,5,32,1,2,50
173,5,32,1,3,51
174,5,32,1,4,52
175,5,32,1,5,53
176,5,32,6,1,54
177,5,32,6,1,54
178,5,32,6,2,55
179,5,32,6,2,55
180,5,32,6,3,56
181,5,19,600,0,57
182,5,19,650,0,57
183,5,19,700,0,57
184,5,19,750,0,57
185,5,19,800,0,57
186,2,33,39,1,58
187,2,33,39,1,58
188,2,33,39,2,59
189,2,33,39,2,59
190,2,33,39,3,60
191,5,19,25,0,61
192,5,19,50,0,61
193,5,19,75,0,61
194,5,19,100,0,61
195,5,19,125,0,61
196,5,19,25,0,62
197,5,19,50,0,62
198,5,19,75,0,62
199,5,19,100,0,62
200,5,19,125,0,62
201,5,19,25,0,63
202,5,19,50,0,63
203,5,19,75,0,63
204,5,19,100,0,63
205,5,19,125,0,63
206,5,19,200,0,64
207,5,19,225,0,64
208,5,19,250,0,64
209,5,19,275,0,64
210,5,19,300,0,64
211,5,36,10,0,65
212,5,36,12,0,65
213,5,36,16,0,65
214,5,36,18,0,65
215,5,36,20,0,65
216,5,47,40,0,66
217,5,47,50,0,66
218,5,47,60,0,66
219,5,47,70,0,66
220,5,47,80,0,66
221,5,19,25,0,67
222,5,19,50,0,67
223,5,19,75,0,67
224,5,19,100,0,67
225,5,19,125,0,67
226,5,77,100,0,68
227,5,77,150,0,68
228,5,77,200,0,68
229,5,77,250,0,68
230,5,77,300,0,68
231,5,19,100,0,69
232,5,19,150,0,69
233,5,19,200,0,69
234,5,19,250,0,69
235,5,19,300,0,69
236,5,19,200,0,70
237,5,19,225,0,70
238,5,19,250,0,70
239,5,19,275,0,70
240,5,19,300,0,70
241,5,32,6,1,71
242,5,32,6,2,72
243,5,32,6,3,73
244,5,32,6,4,74
245,5,32,6,5,75
246,5,32,3,1,76
247,5,32,3,2,77
248,5,32,3,3,78
249,5,32,3,4,79
250,5,32,3,5,80
251,5,47,1000,0,81
252,5,47,1250,0,81
253,5,47,1500,0,81
254,5,47,1750,0,81
255,5,47,2000,0,81
256,5,32,36,1,82
257,5,32,36,1,82
258,5,32,36,2,83
259,5,32,36,2,83
260,5,32,36,3,84
261,5,19,50,0,85
262,5,19,75,0,85
263,5,19,100,0,85
264,5,19,125,0,85
265,5,19,150,0,85
266,5,32,3,1,90
267,5,32,3,1,90
268,5,32,3,2,91
269,5,32,3,2,91
270,5,32,3,3,92
271,5,19,25,0,93
272,5,19,50,0,94
273,5,19,75,0,95
274,5,19,100,0,96
275,5,19,125,0,97
276,5,19,50,0,98
277,5,19,75,0,98
278,5,19,100,0,98
279,5,19,125,0,98
280,5,19,150,0,98
281,5,47,10,0,103
282,5,47,15,0,103
283,5,47,20,0,103
284,5,47,25,0,103
285,5,47,30,0,103
286,5,47,50,0,104
287,5,47,60,0,104
288,5,47,70,0,104
289,5,47,80,0,104
290,5,47,100,0,104
291,5,47,200,0,105
292,5,47,200,0,105
293,5,47,200,0,105
294,5,47,200,0,105
295,5,47,200,0,105
296,5,19,100,0,106
297,5,19,125,0,106
298,5,19,150,0,106
299,5,19,175,0,106
300,5,19,200,0,106
301,5,47,20,0,107
302,5,47,30,0,107
303,5,47,40,0,107
304,5,47,50,0,107
305,5,47,60,0,107
306,5,19,25,0,108
307,5,19,50,0,108
308,5,19,75,0,108
309,5,19,100,0,108
310,5,19,125,0,108
311,5,19,50,0,109
312,5,19,75,0,109
313,5,19,100,0,109
314,5,19,125,0,109
315,5,19,150,0,109
316,5,19,100,0,110
317,5,19,125,0,110
318,5,19,150,0,110
319,5,19,175,0,110
320,5,19,200,0,110
321,5,19,50,0,111
322,5,19,75,0,111
323,5,19,100,0,111
324,5,19,125,0,111
325,5,19,150,0,111
326,5,32,2,1,114
327,5,32,2,1,114
328,5,32,2,2,115
329,5,32,2,2,115
330,5,32,2,3,116
331,5,19,100,0,117
332,5,19,125,0,117
333,5,19,150,0,117
334,5,19,175,0,117
335,5,19,200,0,117
336,5,19,100,0,118
337,5,19,125,0,118
338,5,19,150,0,118
339,5,19,175,0,118
340,5,19,200,0,118
341,5,109,1000,0,119
342,5,109,1250,0,119
343,5,109,1500,0,119
344,5,109,1750,0,119
345,5,109,2000,0,119
346,5,47,20,0,120
347,5,47,30,0,120
348,5,47,40,0,120
349,5,47,50,0,120
350,5,47,60,0,120
351,5,32,3,1,121
352,5,32,3,2,122
353,5,32,3,3,123
354,5,32,3,4,124
355,5,32,3,5,125
356,5,28,100,0,126
357,5,28,125,0,126
358,5,28,150,0,126
359,5,28,175,0,126
360,5,28,200,0,126
361,5,33,36,1,127
362,5,33,36,1,127
363,5,33,36,2,128
364,5,33,36,2,128
365,5,33,36,3,129
366,5,32,6,1,132
367,5,32,6,1,133
368,5,32,6,2,134
369,5,32,6,2,135
370,5,32,6,3,136
371,2,33,47,1,137
372,2,33,47,1,137
373,2,33,47,2,138
374,2,33,47,2,138
375,2,33,47,3,139
376,5,19,100,0,140
377,5,19,125,0,140
378,5,19,150,0,140
379,5,19,175,0,140
380,5,19,200,0,140
381,5,19,25,0,141
382,5,19,50,0,141
383,5,19,75,0,141
384,5,19,100,0,141
385,5,19,125,0,141
386,5,19,50,0,142
387,5,19,75,0,142
388,5,19,100,0,142
389,5,19,125,0,142
390,5,19,150,0,142
391,2,34,10,0,145
392,2,34,15,0,145
393,2,34,20,0,145
394,2,34,25,0,145
395,2,34,30,0,145
396,5,19,100,0,146
397,5,19,125,0,146
398,5,19,150,0,146
399,5,19,175,0,146
400,5,19,200,0,146
401,5,32,6,1,147
402,5,32,6,2,148
403,5,32,6,3,149
404,5,32,6,4,150
405,5,32,6,5,151
406,5,19,50,0,152
407,5,19,75,0,152
408,5,19,100,0,152
409,5,19,125,0,152
410,5,19,150,0,152
411,5,19,100,0,157
412,5,19,125,0,157
413,5,19,150,0,157
414,5,19,175,0,157
415,5,19,200,0,157
416,5,19,200,0,158
417,5,19,100,0,159
418,5,28,200,0,160
419,5,32,2,1,161
420,5,32,3,3,162
421,5,32,3,3,163
422,5,32,28,1,173
423,5,19,100,0,174
424,5,32,1,3,175
425,5,28,100,0,176
426,5,28,100,0,177
427,5,32,29,1,178
428,5,32,1,3,179
429,5,32,29,1,180
430,5,19,200,0,181
431,5,32,2,1,182
432,5,47,200,0,183
433,5,19,100,0,184
434,5,19,50,0,185
435,5,47,20,0,186
436,5,19,200,0,187
437,5,19,200,0,188
438,5,19,200,0,189
439,5,55,200,0,190
440,5,19,100,0,191
441,5,78,0,0,192
442,5,19,200,0,193
443,5,19,150,0,194
444,5,19,100,0,195
445,5,19,50,0,196
446,5,19,50,0,197
447,5,55,1000,0,198
448,5,47,400,0,198
449,5,47,500,0,198
450,5,47,300,0,198
451,5,47,400,0,198
452,5,47,500,0,198
453,5,32,1,3,199
454,5,32,1,3,200
455,5,19,200,0,201
456,5,19,100,0,164
457,5,19,200,0,165
458,5,19,200,0,166
459,5,19,100,0,167
460,5,19,100,0,168
461,5,19,100,0,169
462,5,19,100,0,170
463,5,19,200,0,171
464,5,19,200,0,172
465,5,36,10,0,202
466,17,36,50,0,203
467,5,55,120,0,204
468,5,55,140,0,204
469,5,55,160,0,204
470,5,55,180,0,204
471,5,55,200,0,204
472,5,19,150,0,205
473,5,19,150,0,206
474,5,19,200,0,207
475,17,36,100,0,208
476,5,19,100,0,197
477,4,2,0,10,209
478,4,2,0,15,209
479,4,2,0,20,209
480,4,2,0,25,209
481,4,2,0,30,209
482,4,2,2,12,210
483,4,2,2,14,210
484,4,2,2,16,210
485,4,2,2,18,210
486,4,2,2,20,210
487,5,110,12,0,211
488,5,110,14,0,211
489,5,110,16,0,211
490,5,110,18,0,211
491,5,110,20,0,211
492,4,2,5,10,212
493,4,2,5,15,212
494,4,2,5,20,212
495,4,2,5,25,212
496,4,2,5,30,212
497,5,79,12,10,213
498,5,79,12,12,214
499,5,79,12,14,215
500,5,79,12,16,216
501,5,79,12,18,217
502,5,28,50,0,218
503,5,28,75,0,218
504,5,28,100,0,218
505,5,28,125,0,218
506,5,28,150,0,218
507,7,2,4,12,219
508,7,2,4,14,219
509,7,2,4,16,219
510,7,2,4,18,219
511,7,2,4,20,219
512,4,2,3,12,220
513,4,2,3,14,220
514,4,2,3,16,220
515,4,2,3,18,220
516,4,2,3,20,220
517,4,2,6,10,221
518,4,2,6,15,221
519,4,2,6,20,221
520,4,2,6,25,221
521,4,2,6,30,221
522,5,19,25,0,222
523,5,19,50,0,222
524,5,19,75,0,222
525,5,19,100,0,222
526,5,19,125,0,222
527,5,19,25,0,223
528,5,19,50,0,223
529,5,19,75,0,223
530,5,19,100,0,223
531,5,19,125,0,223
532,17,48,20,0,224
533,17,48,30,0,224
534,17,48,40,0,224
535,17,48,50,0,224
536,17,48,60,0,224
537,5,62,5,0,225
538,5,62,6,0,225
539,5,62,7,0,225
540,5,62,8,0,225
541,5,62,10,0,225
542,7,80,4,0,226
543,7,80,5,0,226
544,7,80,6,0,226
545,7,80,7,0,226
546,7,80,8,0,226
547,4,2,7,12,227
548,4,2,7,14,227
549,4,2,7,16,227
550,4,2,7,18,227
551,4,2,7,20,227
552,5,19,30,0,228
553,5,19,35,0,228
554,5,19,40,0,228
555,5,19,45,0,228
556,5,19,50,0,228
557,7,2,10,12,229
558,7,2,10,14,229
559,7,2,10,16,229
560,7,2,10,18,229
561,7,2,10,20,229
562,7,2,4,10,230
563,7,2,4,15,230
564,7,2,4,20,230
565,7,2,4,25,230
566,7,2,4,30,230
567,14,34,30,0,231
568,14,34,35,0,231
569,14,34,40,0,231
570,14,34,45,0,231
571,14,34,50,0,231
572,4,1,1,500,232
573,4,1,1,750,232
574,4,1,1,1000,232
575,4,1,1,1250,232
576,4,1,1,1500,232
577,5,62,30,0,233
578,5,62,35,0,233
579,5,62,40,0,233
580,5,62,45,0,233
581,5,62,50,0,233
582,5,19,30,0,234
583,5,19,35,0,234
584,5,19,40,0,234
585,5,19,45,0,234
586,5,19,50,0,234
587,5,19,30,0,235
588,5,19,35,0,235
589,5,19,40,0,235
590,5,19,45,0,235
591,5,19,50,0,235
592,17,34,12,0,236
593,17,34,14,0,236
594,17,34,16,0,236
595,17,34,18,0,236
596,17,34,20,0,236
597,7,2,9,12,237
598,7,2,9,14,237
599,7,2,9,16,237
600,7,2,9,18,237
601,7,2,9,20,237
602,5,32,28,1,238
603,5,32,28,1,238
604,5,32,28,2,239
605,5,32,28,2,239
606,5,32,28,3,240
607,5,19,30,0,241
608,5,19,35,0,241
609,5,19,40,0,241
610,5,19,45,0,241
611,5,19,50,0,241
612,17,48,20,0,242
613,17,48,30,0,242
614,17,48,40,0,242
615,17,48,50,0,242
616,17,48,60,0,242
617,7,2,12,12,243
618,7,2,12,14,243
619,7,2,12,16,243
620,7,2,12,18,243
621,7,2,12,20,243
622,5,90,3,10,244
623,5,90,3,15,244
624,5,90,3,20,244
625,5,90,3,25,244
626,5,90,3,30,244
627,7,41,10,0,245
628,7,41,15,0,245
629,7,41,20,0,245
630,7,41,25,0,245
631,7,41,30,0,245
632,15,34,10,0,246
633,15,34,15,0,246
634,15,34,20,0,246
635,15,34,25,0,246
636,15,34,30,0,246
637,5,79,3,1,247
638,5,79,3,2,247
639,5,79,3,3,247
640,5,79,3,4,247
641,5,79,3,5,247
642,7,141,50,0,252
643,7,141,75,0,252
644,7,141,100,0,252
645,7,141,125,0,252
646,7,141,150,0,252
647,5,24,20,0,253
648,5,24,40,0,253
649,5,24,60,0,253
650,5,24,80,0,253
651,5,24,100,0,253
652,7,92,0,20,254
653,7,92,0,40,254
654,7,92,0,60,254
655,7,92,0,80,254
656,7,92,0,100,254
657,5,91,0,10,255
658,5,91,0,15,255
659,5,91,0,20,255
660,5,91,0,25,255
661,5,91,0,30,255
662,5,19,30,0,256
663,5,19,35,0,256
664,5,19,40,0,256
665,5,19,45,0,256
666,5,19,50,0,256
667,18,15,30,0,257
668,18,15,35,0,257
669,18,15,40,0,257
670,18,15,45,0,257
671,18,15,50,0,257
672,17,34,10,0,258
673,17,34,15,0,258
674,17,34,20,0,258
675,17,34,25,0,258
676,17,34,30,0,258
677,4,1,1,500,259
678,4,1,1,750,259
679,4,1,1,1000,259
680,4,1,1,1250,259
681,4,1,1,1500,259
682,10,50,5,0,260
683,10,50,6,0,260
684,10,50,7,0,260
685,10,50,8,0,260
686,10,50,10,0,260
687,5,62,5,0,261
688,5,62,6,0,261
689,5,62,7,0,261
690,5,62,8,0,261
691,5,62,10,0,261
692,7,2,13,12,262
693,7,2,13,14,262
694,7,2,13,16,262
695,7,2,13,18,262
696,7,2,13,20,262
697,5,19,30,0,263
698,5,19,35,0,263
699,5,19,40,0,263
700,5,19,45,0,263
701,5,19,50,0,263
702,5,32,29,1,264
703,5,32,29,1,264
704,5,32,29,2,265
705,5,32,29,2,265
706,5,32,29,3,266
707,7,35,100,0,267
708,7,35,200,0,267
709,7,35,300,0,267
710,7,35,400,0,267
711,7,35,500,0,267
712,5,19,30,0,268
713,5,19,35,0,268
714,5,19,40,0,268
715,5,19,45,0,268
716,5,19,50,0,268
717,5,79,10,10,269
718,5,79,10,12,269
719,5,79,10,14,269
720,5,79,10,16,269
721,5,79,10,18,269
722,7,93,20,0,270
723,7,93,40,0,270
724,7,93,60,0,270
725,7,93,80,0,270
726,7,93,100,0,270
727,5,19,30,0,271
728,5,19,35,0,271
729,5,19,40,0,271
730,5,19,45,0,271
731,5,19,50,0,271
732,5,94,10,1,272
733,5,94,15,1,272
734,5,94,20,1,272
735,5,94,25,1,272
736,5,94,30,1,272
737,8,102,3,0,273
738,8,102,6,0,273
739,8,102,9,0,273
740,8,102,12,0,273
741,8,102,15,0,273
742,5,95,80,0,274
743,5,95,85,0,274
744,5,95,90,0,274
745,5,95,95,0,274
746,5,95,100,0,274
747,5,81,0,5,275
748,5,81,0,6,275
749,5,81,0,7,275
750,5,81,0,8,275
751,5,81,0,10,275
752,5,30,50,0,276
753,5,30,75,0,276
754,5,30,100,0,276
755,5,30,125,0,276
756,5,30,150,0,276
757,5,95,50,0,277
758,5,95,60,0,277
759,5,95,70,0,277
760,5,95,80,0,277
761,5,95,100,0,277
762,5,19,30,0,278
763,5,19,35,0,278
764,5,19,40,0,278
765,5,19,45,0,278
766,5,19,50,0,278
767,4,1,1,500,279
768,4,1,1,750,279
769,4,1,1,1000,279
770,4,1,1,1250,279
771,4,1,1,1500,279
772,17,53,10,0,280
773,17,53,15,0,280
774,17,53,20,0,280
775,17,53,25,0,280
776,17,53,30,0,280
777,5,19,50,0,281
778,5,19,75,0,281
779,5,19,100,0,281
780,5,19,125,0,281
781,5,19,150,0,281
782,5,19,20,0,282
783,5,19,40,0,282
784,5,19,60,0,282
785,5,19,80,0,282
786,5,19,100,0,282
787,5,19,10,0,283
788,5,19,20,0,283
789,5,19,30,0,283
790,5,19,40,0,283
791,5,19,50,0,283
792,5,26,20,0,284
793,5,26,40,0,284
794,5,26,60,0,284
795,5,26,80,0,284
796,5,26,100,0,284
797,4,2,0,30,285
798,4,2,0,35,285
799,4,2,0,40,285
800,4,2,0,45,285
801,4,2,0,50,285
802,10,96,300,0,286
803,10,96,350,0,287
804,10,96,400,0,288
805,10,96,450,0,289
806,10,96,500,0,290
807,5,27,20,0,291
808,5,27,40,0,291
809,5,27,60,0,291
810,5,27,80,0,291
811,5,27,100,0,291
812,5,62,50,0,292
813,5,62,60,0,292
814,5,62,70,0,292
815,5,62,80,0,292
816,5,62,100,0,292
817,5,19,20,0,293
818,5,19,40,0,293
819,5,19,60,0,293
820,5,19,80,0,293
821,5,19,100,0,293
822,7,97,20,0,294
823,7,97,40,0,294
824,7,97,60,0,294
825,7,97,80,0,294
826,7,97,100,0,294
827,5,19,20,0,295
828,5,19,40,0,295
829,5,19,60,0,295
830,5,19,80,0,295
831,5,19,100,0,295
832,4,17,30,0,296
833,4,17,35,0,296
834,4,17,40,0,296
835,4,17,45,0,296
836,4,17,50,0,296
837,5,103,20,0,297
838,5,103,25,0,297
839,5,103,30,0,297
840,5,103,35,0,297
841,5,103,40,0,297
842,5,75,10,0,298
843,5,75,15,0,298
844,5,75,20,0,298
845,5,75,25,0,298
846,5,75,30,0,298
847,5,59,4,0,299
848,5,59,6,0,299
849,5,59,8,0,299
850,5,59,10,0,299
851,5,59,12,0,299
852,10,49,4,0,300
853,10,49,6,0,300
854,10,49,8,0,300
855,10,49,10,0,300
856,10,49,12,0,300
857,4,14,5,0,301
858,4,14,10,0,301
859,4,14,15,0,301
860,4,14,20,0,301
861,4,14,25,0,301
862,7,92,0,20,302
863,7,92,0,40,302
864,7,92,0,60,302
865,7,92,0,80,302
866,7,92,0,100,302
867,4,16,30,0,303
868,4,16,35,0,304
869,4,16,40,0,305
870,4,16,45,0,306
871,4,16,50,0,307
872,5,31,200,0,308
873,5,31,225,0,308
874,5,31,250,0,308
875,5,31,275,0,308
876,5,31,300,0,308
877,7,98,40,0,309
878,7,98,41,0,309
879,7,98,42,0,309
880,7,98,43,0,309
881,7,98,44,0,309
882,17,47,100,0,310
883,17,47,110,0,310
884,17,47,120,0,310
885,17,47,130,0,310
886,17,47,150,0,310
887,7,2,11,12,311
888,7,2,11,14,311
889,7,2,11,16,311
890,7,2,11,18,311
891,7,2,11,20,311
892,5,19,10,0,312
893,5,19,20,0,312
894,5,19,30,0,312
895,5,19,40,0,312
896,5,19,50,0,312
897,7,47,200,0,313
898,7,47,225,0,313
899,7,47,250,0,313
900,7,47,275,0,313
901,7,47,300,0,313
902,5,29,10,0,314
903,5,29,20,0,314
904,5,29,30,0,314
905,5,29,40,0,314
906,5,29,50,0,314
907,4,1,39,12,315
908,4,1,39,15,315
909,4,1,39,18,315
910,4,1,39,21,315
911,4,1,39,24,315
912,5,91,0,12,316
913,5,91,0,15,316
914,5,91,0,18,316
915,5,91,0,21,316
916,5,91,0,24,316
917,9,100,1,0,317
918,9,100,2,0,318
919,9,100,3,0,319
920,9,100,4,0,320
921,9,100,5,0,321
922,4,45,10,0,322
923,4,45,20,0,322
924,4,45,30,0,322
925,4,45,40,0,322
926,4,45,50,0,322
927,7,2,14,12,323
928,7,2,14,14,323
929,7,2,14,16,323
930,7,2,14,18,323
931,7,2,14,20,323
932,18,15,10,0,324
933,18,15,20,0,324
934,18,15,30,0,324
935,18,15,40,0,324
936,18,15,50,0,324
937,20,47,1000,0,325
938,20,47,1250,0,325
939,20,47,1500,0,325
940,20,47,1750,0,325
941,20,47,2000,0,325
942,4,4,43,4,326
943,4,4,43,6,326
944,4,4,43,8,326
945,4,4,43,10,326
946,4,4,43,12,326
947,4,1,0,100,327
948,4,1,0,150,327
949,4,1,0,200,327
950,4,1,0,250,327
951,4,1,0,300,327
952,4,1,0,350,327
953,4,1,0,400,327
954,4,1,0,450,327
955,4,1,0,500,327
956,4,1,0,550,327
957,4,1,0,600,327
958,4,1,0,650,327
959,4,1,0,700,327
960,4,1,0,750,327
961,4,1,0,800,327
962,4,1,0,850,327
963,4,1,0,900,327
964,4,1,0,950,327
965,4,1,0,1000,327
966,4,1,0,1500,327
967,4,1,1,500,328
968,4,1,1,600,328
969,4,1,1,700,328
970,4,1,1,800,328
971,4,1,1,900,328
972,4,1,1,1000,328
973,4,1,1,1100,328
974,4,1,1,1200,328
975,4,1,1,1300,328
976,4,1,1,1400,328
977,4,1,1,1500,328
978,4,1,1,1600,328
979,4,1,1,1700,328
980,4,1,1,1800,328
981,4,1,1,1900,328
982,4,1,1,2000,328
983,4,1,1,2100,328
984,4,1,1,2200,328
985,4,1,1,2300,328
986,4,1,1,3000,328
987,4,1,2,10,329
988,4,1,2,12,329
989,4,1,2,14,329
990,4,1,2,16,329
991,4,1,2,18,329
992,4,1,2,20,329
993,4,1,2,22,329
994,4,1,2,24,329
995,4,1,2,26,329
996,4,1,2,28,329
997,4,1,2,32,329
998,4,1,2,34,329
999,4,1,2,36,329
1000,4,1,2,38,329
1001,4,1,2,40,329
1002,4,1,2,42,329
1003,4,1,2,44,329
1004,4,1,2,46,329
1005,4,1,2,48,329
1006,4,1,2,50,329
1007,4,1,3,10,330
1008,4,1,3,12,330
1009,4,1,3,14,330
1010,4,1,3,16,330
1011,4,1,3,18,330
1012,4,1,3,20,330
1013,4,1,3,22,330
1014,4,1,3,24,330
1015,4,1,3,26,330
1016,4,1,3,28,330
1017,4,1,3,32,330
1018,4,1,3,34,330
1019,4,1,3,36,330
1020,4,1,3,38,330
1021,4,1,3,40,330
1022,4,1,3,42,330
1023,4,1,3,44,330
1024,4,1,3,46,330
1025,4,1,3,48,330
1026,4,1,3,50,330
1027,4,1,4,5,331
1028,4,1,4,6,331
1029,4,1,4,7,331
1030,4,1,4,8,331
1031,4,1,4,9,331
1032,4,1,4,10,331
1033,4,1,4,11,331
1034,4,1,4,12,331
1035,4,1,4,13,331
1036,4,1,4,14,331
1037,4,1,4,16,331
1038,4,1,4,17,331
1039,4,1,4,18,331
1040,4,1,4,19,331
1041,4,1,4,20,331
1042,4,1,4,21,331
1043,4,1,4,22,331
1044,4,1,4,23,331
1045,4,1,4,24,331
1046,4,1,4,25,331
1047,4,1,5,10,332
1048,4,1,5,15,332
1049,4,1,5,20,332
1050,4,1,5,25,332
1051,4,1,5,30,332
1052,4,1,5,35,332
1053,4,1,5,40,332
1054,4,1,5,45,332
1055,4,1,5,50,332
1056,4,1,5,55,332
1057,4,1,5,60,332
1058,4,1,5,65,332
1059,4,1,5,70,332
1060,4,1,5,75,332
1061,4,1,5,80,332
1062,4,1,5,85,332
1063,4,1,5,90,332
1064,4,1,5,95,332
1065,4,1,5,100,332
1066,4,1,5,150,332
1067,4,1,6,10,333
1068,4,1,6,15,333
1069,4,1,6,20,333
1070,4,1,6,25,333
1071,4,1,6,30,333
1072,4,1,6,35,333
1073,4,1,6,40,333
1074,4,1,6,45,333
1075,4,1,6,50,333
1076,4,1,6,55,333
1077,4,1,6,60,333
1078,4,1,6,65,333
1079,4,1,6,70,333
1080,4,1,6,75,333
1081,4,1,6,80,333
1082,4,1,6,85,333
1083,4,1,6,90,333
1084,4,1,6,95,333
1085,4,1,6,100,333
1086,4,1,6,150,333
1087,4,1,7,4,334
1088,4,1,7,6,334
1089,4,1,7,8,334
1090,4,1,7,10,334
1091,4,1,7,12,334
1092,4,1,7,14,334
1093,4,1,7,16,334
1094,4,1,7,18,334
1095,4,1,7,20,334
1096,4,1,7,22,334
1097,4,1,7,24,334
1098,4,1,7,26,334
1099,4,1,7,28,334
1100,4,1,7,30,334
1101,4,1,7,32,334
1102,4,1,7,34,334
1103,4,1,7,36,334
1104,4,1,7,38,334
1105,4,1,7,40,334
1106,4,1,7,50,334
1107,4,2,0,5,335
1108,4,2,0,6,335
1109,4,2,0,7,335
1110,4,2,0,8,335
1111,4,2,0,9,335
1112,4,2,0,10,335
1113,4,2,0,11,335
1114,4,2,0,12,335
1115,4,2,0,13,335
1116,4,2,0,14,335
1117,4,2,0,16,335
1118,4,2,0,17,335
1119,4,2,0,18,335
1120,4,2,0,19,335
1121,4,2,0,20,335
1122,4,2,0,21,335
1123,4,2,0,22,335
1124,4,2,0,23,335
1125,4,2,0,24,335
1126,4,2,0,25,335
1127,4,2,1,5,336
1128,4,2,1,6,336
1129,4,2,1,7,336
1130,4,2,1,8,336
1131,4,2,1,9,336
1132,4,2,1,10,336
1133,4,2,1,11,336
1134,4,2,1,12,336
1135,4,2,1,13,336
1136,4,2,1,14,336
1137,4,2,1,16,336
1138,4,2,1,17,336
1139,4,2,1,18,336
1140,4,2,1,19,336
1141,4,2,1,20,336
1142,4,2,1,21,336
1143,4,2,1,22,336
1144,4,2,1,23,336
1145,4,2,1,24,336
1146,4,2,1,25,336
1147,4,2,2,5,337
