ID,wpn[0],wpn[1],wpn[2],wpn[3],wpn[4],wpn[5],wpn[6],wpn[7],wpn[8],wpn[9],wpn[10],wpn[11],wpn[12],wpn[13],wpn[14],wpn[15],wpn[16],wpn[17],wpn[18],wpn[19],wpn[20],wpn[21],wpn[22],wpn[23],wpn[24],wpn[25],wpn[26]
53,2743,0,3082,0,2716,3428,0,0,3072,0,0,2850,2752,2870,3568,3498,2986,3239,2649,3268,0,0,2706,3152,0,0,0
54,0,0,2920,0,0,3438,0,0,0,0,0,2725,0,2810,3578,3508,0,3348,2640,2860,0,0,0,3318,0,0,0
55,0,0,2929,0,0,3448,0,0,0,0,0,2604,0,2840,3308,3518,0,3358,0,2996,0,0,0,2791,0,0,0
56,0,0,2631,0,0,0,0,0,0,0,0,3036,0,2668,0,0,0,3368,0,3053,0,0,0,0,0,0,0
57,0,0,2772,0,0,0,0,0,0,0,0,0,0,2830,0,0,0,3378,0,0,0,0,0,0,0,0,0
58,0,0,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3183,2939,3549,3599,2881,3399,3133,3279,2891,2969,3007,3259,2697,3249,3589,3469,3046,3232,3459,3163,2987,3213,2678,3123,3599,3599,3599
61,3193,2801,3299,3609,3279,3409,2624,0,3017,2978,0,3113,2735,3203,3539,3479,2949,3173,3529,3329,0,0,2783,3289,3609,3609,3609
62,3093,3213,3223,3619,2687,3419,2615,0,2901,3007,0,3027,2821,3063,3559,3489,2959,3339,2911,3103,0,0,2659,3143,3619,3619,3619
63,2744,0,3083,0,2717,3429,0,0,3073,0,0,2851,2753,2871,3569,3499,2987,3240,2650,3269,0,0,2707,3153,0,0,0
64,0,0,2921,0,0,3439,0,0,0,0,0,2726,0,2811,3579,3509,0,3349,2641,2861,0,0,0,3319,0,0,0
65,0,0,2930,0,0,3449,0,0,0,0,0,2605,0,2841,3309,3519,0,3359,0,2997,0,0,0,2792,0,0,0
66,0,0,2632,0,0,0,0,0,0,0,0,3037,0,2669,0,0,0,3369,0,3054,0,0,0,0,0,0,0
67,0,0,2773,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,3379,0,0,0,0,0,0,0,0,0
68,0,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3183,2939,3549,3599,2881,3399,3133,3279,2891,2969,3007,3259,2697,3249,3589,3469,3046,3232,3459,3163,2987,3213,2678,3123,3599,3599,3599
71,3193,2801,3299,3609,3279,3409,2624,0,3017,2978,0,3113,2735,3203,3539,3479,2949,3173,3529,3329,0,0,2783,3289,3609,3609,3609
72,3093,3213,3223,3619,2687,3419,2615,0,2901,3007,0,3027,2821,3063,3559,3489,2959,3339,2911,3103,0,0,2659,3143,3619,3619,3619
73,2744,0,3083,0,2717,3429,0,0,3073,0,0,2851,2753,2871,3569,3499,2987,3240,2650,3269,0,0,2707,3153,0,0,0
74,0,0,2921,0,0,3439,0,0,0,0,0,2726,0,2811,3579,3509,0,3349,2641,2861,0,0,0,3319,0,0,0
75,0,0,2930,0,0,3449,0,0,0,0,0,2605,0,2841,3309,3519,0,3359,0,2997,0,0,0,2792,0,0,0
76,0,0,2632,0,0,0,0,0,0,0,0,3037,0,2669,0,0,0,3369,0,3054,0,0,0,0,0,0,0
77,0,0,2773,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,3379,0,0,0,0,0,0,0,0,0
78,0,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
