ID,Name,PartsName,LotRank,Lock,GoldBox,SilverBox,BronzeBox
180,"【本体】",1589,17,0,4,47,46
181,mant,1590,12,0,0,0,46
182,cannon_L,1528,12,0,0,0,46
183,cannon_R,1530,12,0,0,0,46
184,arm_L,1505,12,0,0,0,46
185,arm_R,1506,12,0,0,0,46
186,"【本体】",1589,17,0,4,47,47
187,mant,1590,12,0,0,0,47
188,cannon_L,1528,12,0,0,0,47
189,cannon_R,1530,12,0,0,0,47
190,arm_L,1505,12,0,0,0,47
191,arm_R,1506,12,0,0,0,47
192,"【本体】",1589,17,0,4,47,48
193,mant,1590,12,0,0,0,48
194,cannon_L,1528,12,0,0,0,48
195,cannon_R,1530,12,0,0,0,48
196,arm_L,1505,12,0,0,0,48
197,arm_R,1506,12,0,0,0,48
198,"【本体】",1589,17,0,4,47,49
199,mant,1590,12,0,0,0,49
200,cannon_L,1528,12,0,0,0,49
201,cannon_R,1530,12,0,0,0,49
202,arm_L,1505,12,0,0,0,49
203,arm_R,1506,12,0,0,0,49
204,"【本体】",1589,11,0,4,361,46
205,mant,1590,12,0,0,0,46
206,cannon_L,1528,12,0,0,0,46
207,cannon_R,1530,12,0,0,0,46
208,arm_L,1505,12,0,0,0,46
209,arm_R,1506,12,0,0,0,46
210,"【本体】",1589,11,0,4,362,47
211,mant,1590,12,0,0,0,47
212,cannon_L,1528,12,0,0,0,47
213,cannon_R,1530,12,0,0,0,47
214,arm_L,1505,12,0,0,0,47
215,arm_R,1506,12,0,0,0,47
216,"【本体】",1589,11,0,4,363,48
217,mant,1590,12,0,0,0,48
218,cannon_L,1528,12,0,0,0,48
219,cannon_R,1530,12,0,0,0,48
220,arm_L,1505,12,0,0,0,48
221,arm_R,1506,12,0,0,0,48
222,"【本体】",1589,11,0,4,364,49
223,mant,1590,12,0,0,0,49
224,cannon_L,1528,12,0,0,0,49
225,cannon_R,1530,12,0,0,0,49
226,arm_L,1505,12,0,0,0,49
227,arm_R,1506,12,0,0,0,49
228,"【本体】",1589,2,0,4,47,58
229,wing_L,1647,7,0,0,0,58
230,wing_R,1651,7,0,0,0,58
231,stabilizer,1620,7,0,0,0,58
232,"【本体】",1589,2,0,4,47,59
233,wing_L,1647,7,0,0,0,59
234,wing_R,1651,7,0,0,0,59
235,stabilizer,1620,7,0,0,0,59
236,"【本体】",1589,2,0,4,47,60
237,wing_L,1647,7,0,0,0,60
238,wing_R,1651,7,0,0,0,60
239,stabilizer,1620,7,0,0,0,60
240,"【本体】",1589,2,0,4,47,61
241,wing_L,1647,7,0,0,0,61
242,wing_R,1651,7,0,0,0,61
243,stabilizer,1620,7,0,0,0,61
244,"【本体】",1589,11,0,4,107,58
245,wing_L,1647,12,0,0,0,58
246,wing_R,1651,12,0,0,0,58
247,stabilizer,1620,12,0,0,0,58
248,"【本体】",1589,11,0,4,108,59
249,wing_L,1647,12,0,0,0,59
250,wing_R,1651,12,0,0,0,59
251,stabilizer,1620,12,0,0,0,59
252,"【本体】",1589,11,0,4,109,60
253,wing_L,1647,12,0,0,0,60
254,wing_R,1651,12,0,0,0,60
255,stabilizer,1620,12,0,0,0,60
256,"【本体】",1589,11,0,4,110,61
257,wing_L,1647,12,0,0,0,61
258,wing_R,1651,12,0,0,0,61
259,stabilizer,1620,12,0,0,0,61
260,"【本体】",1589,14,1,0,1,65
261,body,1524,1,0,0,0,65
262,armL,1507,1,0,0,0,65
263,armR,1509,1,0,0,0,65
264,cokpit,1536,1,0,0,0,65
265,cokpit_open,1537,1,0,0,0,65
266,armL_on,1508,1,0,0,0,65
267,armR_on,1510,1,0,0,0,65
268,head_on,1569,1,0,0,0,65
269,disp_A,1538,1,0,0,0,65
270,disp_B,1539,1,0,0,0,65
271,"【本体】",1589,14,1,0,2,65
272,body,1524,1,0,0,0,65
273,armL,1507,1,0,0,0,65
274,armR,1509,1,0,0,0,65
275,cokpit,1536,1,0,0,0,65
276,cokpit_open,1537,1,0,0,0,65
277,armL_on,1508,1,0,0,0,65
278,armR_on,1510,1,0,0,0,65
279,head_on,1569,1,0,0,0,65
280,disp_A,1538,1,0,0,0,65
281,disp_B,1539,1,0,0,0,65
282,"【本体】",1589,14,1,0,3,65
283,body,1524,1,0,0,0,65
284,armL,1507,1,0,0,0,65
285,armR,1509,1,0,0,0,65
286,cokpit,1536,1,0,0,0,65
287,cokpit_open,1537,1,0,0,0,65
288,armL_on,1508,1,0,0,0,65
289,armR_on,1510,1,0,0,0,65
290,head_on,1569,1,0,0,0,65
291,disp_A,1538,1,0,0,0,65
292,disp_B,1539,1,0,0,0,65
293,"【本体】",1589,14,1,0,1,65
294,body,1524,1,0,0,0,65
295,armL,1507,1,0,0,0,65
296,armR,1509,1,0,0,0,65
297,cokpit,1536,1,0,0,0,65
298,cokpit_open,1537,1,0,0,0,65
299,armL_on,1508,1,0,0,0,65
300,armR_on,1510,1,0,0,0,65
301,head_on,1569,1,0,0,0,65
302,disp_A,1538,1,0,0,0,65
303,disp_B,1539,1,0,0,0,65
304,"【本体】",1589,14,1,0,2,65
305,body,1524,1,0,0,0,65
306,armL,1507,1,0,0,0,65
307,armR,1509,1,0,0,0,65
308,cokpit,1536,1,0,0,0,65
309,cokpit_open,1537,1,0,0,0,65
310,armL_on,1508,1,0,0,0,65
311,armR_on,1510,1,0,0,0,65
312,head_on,1569,1,0,0,0,65
313,disp_A,1538,1,0,0,0,65
314,disp_B,1539,1,0,0,0,65
315,"【本体】",1589,14,1,0,3,65
316,body,1524,1,0,0,0,65
317,armL,1507,1,0,0,0,65
318,armR,1509,1,0,0,0,65
319,cokpit,1536,1,0,0,0,65
320,cokpit_open,1537,1,0,0,0,65
321,armL_on,1508,1,0,0,0,65
322,armR_on,1510,1,0,0,0,65
323,head_on,1569,1,0,0,0,65
324,disp_A,1538,1,0,0,0,65
325,disp_B,1539,1,0,0,0,65
326,"【本体】",1589,2,0,7,313,14
327,head,1568,7,0,0,0,14
328,arm_L,1505,7,0,0,0,14
329,arm_R,1506,7,0,0,0,14
330,wepA_L,1634,7,0,0,0,14
331,wepA_R,1635,7,0,0,0,14
332,wepB_L,1636,8,0,30,583,14
333,wepB_R,1638,8,0,30,583,14
334,"【本体】",1589,2,0,7,313,14
335,head,1568,7,0,0,0,14
336,arm_L,1505,7,0,0,0,14
337,arm_R,1506,7,0,0,0,14
338,wepA_L,1634,7,0,0,0,14
339,wepA_R,1635,7,0,0,0,14
340,wepB_L,1636,8,0,31,584,14
341,wepB_R,1638,8,0,31,584,14
342,"【本体】",1589,2,0,7,313,14
343,head,1568,7,0,0,0,14
344,arm_L,1505,7,0,0,0,14
345,arm_R,1506,7,0,0,0,14
346,wepA_L,1634,7,0,0,0,14
347,wepA_R,1635,7,0,0,0,14
348,wepB_L,1636,8,0,32,585,14
349,wepB_R,1638,8,0,32,585,14
350,"【本体】",1589,2,0,7,313,14
351,head,1568,7,0,0,0,14
352,arm_L,1505,7,0,0,0,14
353,arm_R,1506,7,0,0,0,14
354,wepA_L,1634,7,0,0,0,14
355,wepA_R,1635,7,0,0,0,14
356,wepB_L,1636,8,0,33,586,14
357,wepB_R,1638,8,0,33,586,14
358,"【本体】",1589,11,0,7,328,14
359,head,1568,12,0,0,0,14
360,arm_L,1505,12,0,0,0,14
361,arm_R,1506,12,0,0,0,14
362,wepA_L,1634,7,0,0,0,14
363,wepA_R,1635,7,0,0,0,14
364,wepB_L,1636,8,0,33,586,14
365,wepB_R,1638,8,0,33,586,14
366,"【本体】",1589,2,0,7,313,15
367,head,1568,7,0,0,0,15
368,arm_L,1505,7,0,0,0,15
369,arm_R,1506,7,0,0,0,15
370,wepA_L,1634,7,0,0,0,15
371,wepA_R,1635,7,0,0,0,15
372,wepB_L,1636,8,0,34,587,15
373,wepB_R,1638,8,0,34,587,15
374,"【本体】",1589,2,0,7,313,15
375,head,1568,7,0,0,0,15
376,arm_L,1505,7,0,0,0,15
377,arm_R,1506,7,0,0,0,15
378,wepA_L,1634,7,0,0,0,15
379,wepA_R,1635,7,0,0,0,15
380,wepB_L,1636,8,0,35,588,15
381,wepB_R,1638,8,0,35,588,15
382,"【本体】",1589,2,0,7,313,15
383,head,1568,7,0,0,0,15
384,arm_L,1505,7,0,0,0,15
385,arm_R,1506,7,0,0,0,15
386,wepA_L,1634,7,0,0,0,15
387,wepA_R,1635,7,0,0,0,15
388,wepB_L,1636,8,0,36,589,15
389,wepB_R,1638,8,0,36,589,15
390,"【本体】",1589,2,0,7,313,15
391,head,1568,7,0,0,0,15
392,arm_L,1505,7,0,0,0,15
393,arm_R,1506,7,0,0,0,15
394,wepA_L,1634,7,0,0,0,15
395,wepA_R,1635,7,0,0,0,15
396,wepB_L,1636,8,0,37,590,15
397,wepB_R,1638,8,0,37,590,15
398,"【本体】",1589,11,0,7,329,15
399,head,1568,12,0,0,0,15
400,arm_L,1505,12,0,0,0,15
401,arm_R,1506,12,0,0,0,15
402,wepA_L,1634,7,0,0,0,15
403,wepA_R,1635,7,0,0,0,15
404,wepB_L,1636,8,0,37,590,15
405,wepB_R,1638,8,0,37,590,15
406,"【本体】",1589,2,0,7,313,16
407,head,1568,7,0,0,0,16
408,arm_L,1505,7,0,0,0,16
409,arm_R,1506,7,0,0,0,16
410,wepA_L,1634,7,0,0,0,16
411,wepA_R,1635,7,0,0,0,16
412,wepB_L,1636,8,0,38,591,16
413,wepB_R,1638,8,0,38,591,16
414,"【本体】",1589,2,0,7,313,16
415,head,1568,7,0,0,0,16
416,arm_L,1505,7,0,0,0,16
417,arm_R,1506,7,0,0,0,16
418,wepA_L,1634,7,0,0,0,16
419,wepA_R,1635,7,0,0,0,16
420,wepB_L,1636,8,0,39,592,16
421,wepB_R,1638,8,0,39,592,16
422,"【本体】",1589,2,0,7,313,16
423,head,1568,7,0,0,0,16
424,arm_L,1505,7,0,0,0,16
425,arm_R,1506,7,0,0,0,16
426,wepA_L,1634,7,0,0,0,16
427,wepA_R,1635,7,0,0,0,16
428,wepB_L,1636,8,0,40,593,16
429,wepB_R,1638,8,0,40,593,16
430,"【本体】",1589,2,0,7,313,16
431,head,1568,7,0,0,0,16
432,arm_L,1505,7,0,0,0,16
433,arm_R,1506,7,0,0,0,16
434,wepA_L,1634,7,0,0,0,16
435,wepA_R,1635,7,0,0,0,16
436,wepB_L,1636,8,0,41,594,16
437,wepB_R,1638,8,0,41,594,16
438,"【本体】",1589,11,0,7,330,16
439,head,1568,12,0,0,0,16
440,arm_L,1505,12,0,0,0,16
441,arm_R,1506,12,0,0,0,16
442,wepA_L,1634,7,0,0,0,16
443,wepA_R,1635,7,0,0,0,16
444,wepB_L,1636,8,0,41,594,16
445,wepB_R,1638,8,0,41,594,16
446,"【本体】",1589,2,0,7,313,17
447,head,1568,7,0,0,0,17
448,arm_L,1505,7,0,0,0,17
449,arm_R,1506,7,0,0,0,17
450,wepA_L,1634,7,0,0,0,17
451,wepA_R,1635,7,0,0,0,17
452,wepB_L,1636,8,0,42,595,17
453,wepB_R,1638,8,0,42,595,17
454,"【本体】",1589,2,0,7,313,17
455,head,1568,7,0,0,0,17
456,arm_L,1505,7,0,0,0,17
457,arm_R,1506,7,0,0,0,17
458,wepA_L,1634,7,0,0,0,17
459,wepA_R,1635,7,0,0,0,17
460,wepB_L,1636,8,0,43,596,17
461,wepB_R,1638,8,0,43,596,17
462,"【本体】",1589,2,0,7,313,17
463,head,1568,7,0,0,0,17
464,arm_L,1505,7,0,0,0,17
465,arm_R,1506,7,0,0,0,17
466,wepA_L,1634,7,0,0,0,17
467,wepA_R,1635,7,0,0,0,17
468,wepB_L,1636,8,0,44,597,17
469,wepB_R,1638,8,0,44,597,17
470,"【本体】",1589,2,0,7,313,17
471,head,1568,7,0,0,0,17
472,arm_L,1505,7,0,0,0,17
473,arm_R,1506,7,0,0,0,17
474,wepA_L,1634,7,0,0,0,17
475,wepA_R,1635,7,0,0,0,17
476,wepB_L,1636,8,0,45,598,17
477,wepB_R,1638,8,0,45,598,17
478,"【本体】",1589,11,0,7,331,17
479,head,1568,12,0,0,0,17
480,arm_L,1505,12,0,0,0,17
481,arm_R,1506,12,0,0,0,17
482,wepA_L,1634,7,0,0,0,17
483,wepA_R,1635,7,0,0,0,17
484,wepB_L,1636,8,0,45,598,17
485,wepB_R,1638,8,0,45,598,17
486,"【本体】",1589,11,0,7,332,18
487,head,1568,12,0,0,0,18
488,arm_L,1505,12,0,0,0,18
489,arm_R,1506,12,0,0,0,18
490,wepA_L,1634,7,0,0,0,18
491,wepA_R,1635,7,0,0,0,18
492,wepB_L,1636,8,0,95,648,18
493,wepB_R,1638,8,0,95,648,18
494,"【本体】",1589,11,0,7,333,19
495,head,1568,12,0,0,0,19
496,arm_L,1505,12,0,0,0,19
497,arm_R,1506,12,0,0,0,19
498,wepA_L,1634,7,0,0,0,19
499,wepA_R,1635,7,0,0,0,19
500,wepB_L,1636,8,0,96,649,19
501,wepB_R,1638,8,0,96,649,19
502,"【本体】",1589,11,0,7,334,20
503,head,1568,12,0,0,0,20
504,arm_L,1505,12,0,0,0,20
505,arm_R,1506,12,0,0,0,20
506,wepA_L,1634,7,0,0,0,20
507,wepA_R,1635,7,0,0,0,20
508,wepB_L,1636,8,0,97,650,20
509,wepB_R,1638,8,0,97,650,20
510,"【本体】",1589,2,0,7,313,21
511,head,1568,7,0,0,0,21
512,arm_L,1505,7,0,0,0,21
513,arm_R,1506,7,0,0,0,21
514,wepA_L,1634,7,0,0,0,21
515,wepA_R,1635,7,0,0,0,21
516,wepB_L,1636,8,0,42,595,21
517,wepB_R,1638,8,0,42,595,21
518,"【本体】",1589,2,0,7,313,21
519,head,1568,7,0,0,0,21
520,arm_L,1505,7,0,0,0,21
521,arm_R,1506,7,0,0,0,21
522,wepA_L,1634,7,0,0,0,21
523,wepA_R,1635,7,0,0,0,21
524,wepB_L,1636,8,0,43,596,21
525,wepB_R,1638,8,0,43,596,21
526,"【本体】",1589,2,0,7,313,21
527,head,1568,7,0,0,0,21
528,arm_L,1505,7,0,0,0,21
529,arm_R,1506,7,0,0,0,21
530,wepA_L,1634,7,0,0,0,21
531,wepA_R,1635,7,0,0,0,21
532,wepB_L,1636,8,0,44,597,21
533,wepB_R,1638,8,0,44,597,21
534,"【本体】",1589,2,0,7,313,21
535,head,1568,7,0,0,0,21
536,arm_L,1505,7,0,0,0,21
537,arm_R,1506,7,0,0,0,21
538,wepA_L,1634,7,0,0,0,21
539,wepA_R,1635,7,0,0,0,21
540,wepB_L,1636,8,0,45,598,21
541,wepB_R,1638,8,0,45,598,21
542,"【本体】",1589,11,0,7,335,21
543,head,1568,12,0,0,0,21
544,arm_L,1505,12,0,0,0,21
545,arm_R,1506,12,0,0,0,21
546,wepA_L,1634,7,0,0,0,21
547,wepA_R,1635,7,0,0,0,21
548,wepB_L,1636,8,0,98,651,21
549,wepB_R,1638,8,0,98,651,21
550,"【本体】",1589,2,0,7,313,28
551,momo_L,1592,7,0,0,0,28
552,momo_R,1593,7,0,0,0,28
553,head,1568,7,0,0,0,28
554,wepA_L_in,1633,8,0,70,623,28
555,wepB_R_in,1637,8,0,58,611,28
556,wepC_L_out,1639,8,0,74,627,28
557,wepD_R_out,1642,8,0,62,615,28
558,"【本体】",1589,2,0,7,313,28
559,momo_L,1592,7,0,0,0,28
560,momo_R,1593,7,0,0,0,28
561,head,1568,7,0,0,0,28
562,wepA_L_in,1633,8,0,71,624,28
563,wepB_R_in,1637,8,0,59,612,28
564,wepC_L_out,1639,8,0,75,628,28
565,wepD_R_out,1642,8,0,63,616,28
566,"【本体】",1589,2,0,7,313,28
567,momo_L,1592,7,0,0,0,28
568,momo_R,1593,7,0,0,0,28
569,head,1568,7,0,0,0,28
570,wepA_L_in,1633,8,0,72,625,28
571,wepB_R_in,1637,8,0,60,613,28
572,wepC_L_out,1639,8,0,76,629,28
573,wepD_R_out,1642,8,0,64,617,28
574,"【本体】",1589,2,0,7,313,28
575,momo_L,1592,7,0,0,0,28
576,momo_R,1593,7,0,0,0,28
577,head,1568,7,0,0,0,28
578,wepA_L_in,1633,8,0,73,626,28
579,wepB_R_in,1637,8,0,61,614,28
580,wepC_L_out,1639,8,0,77,630,28
581,wepD_R_out,1642,8,0,65,618,28
582,"【本体】",1589,11,0,7,342,28
583,momo_L,1592,12,0,0,0,28
584,momo_R,1593,12,0,0,0,28
585,head,1568,12,0,0,0,28
586,wepA_L_in,1633,8,0,73,626,28
587,wepB_R_in,1637,8,0,61,614,28
588,wepC_L_out,1639,8,0,77,630,28
589,wepD_R_out,1642,8,0,65,618,28
590,"【本体】",1589,2,0,7,313,32
591,momo_L,1592,7,0,0,0,32
592,momo_R,1593,7,0,0,0,32
593,head,1568,7,0,0,0,32
594,wepA_L_in,1633,8,0,72,625,32
595,wepB_R_in,1637,8,0,60,613,32
596,wepC_L_out,1639,8,0,76,629,32
597,wepD_R_out,1642,8,0,64,617,32
598,"【本体】",1589,2,0,7,313,32
599,momo_L,1592,7,0,0,0,32
600,momo_R,1593,7,0,0,0,32
601,head,1568,7,0,0,0,32
602,wepA_L_in,1633,8,0,73,626,32
603,wepB_R_in,1637,8,0,61,614,32
604,wepC_L_out,1639,8,0,77,630,32
605,wepD_R_out,1642,8,0,65,618,32
606,"【本体】",1589,11,0,7,346,32
607,momo_L,1592,12,0,0,0,32
608,momo_R,1593,12,0,0,0,32
609,head,1568,12,0,0,0,32
610,wepA_L_in,1633,8,0,71,624,32
611,wepB_R_in,1637,8,0,102,655,32
612,wepC_L_out,1639,8,0,104,657,32
613,wepD_R_out,1642,8,0,103,656,32
614,"【本体】",1589,2,0,7,313,29
615,momo_L,1592,7,0,0,0,29
616,momo_R,1593,7,0,0,0,29
617,head,1568,7,0,0,0,29
618,wepA_L_in,1633,8,0,70,623,29
619,wepC_R_in,1640,8,0,74,627,29
620,wepD_L_out,1641,8,0,62,615,29
621,wepE_R_out,1644,8,0,66,619,29
622,"【本体】",1589,2,0,7,313,29
623,momo_L,1592,7,0,0,0,29
624,momo_R,1593,7,0,0,0,29
625,head,1568,7,0,0,0,29
626,wepA_L_in,1633,8,0,71,624,29
627,wepC_R_in,1640,8,0,75,628,29
628,wepD_L_out,1641,8,0,63,616,29
629,wepE_R_out,1644,8,0,67,620,29
630,"【本体】",1589,2,0,7,313,29
631,momo_L,1592,7,0,0,0,29
632,momo_R,1593,7,0,0,0,29
633,head,1568,7,0,0,0,29
634,wepA_L_in,1633,8,0,72,625,29
635,wepC_R_in,1640,8,0,76,629,29
636,wepD_L_out,1641,8,0,64,617,29
637,wepE_R_out,1644,8,0,68,621,29
638,"【本体】",1589,22,0,7,313,29
639,momo_L,1592,7,0,0,0,29
640,momo_R,1593,7,0,0,0,29
641,head,1568,7,0,0,0,29
642,wepA_L_in,1633,8,0,72,625,29
643,wepC_R_in,1640,8,0,76,629,29
644,wepD_L_out,1641,8,0,64,617,29
645,wepE_R_out,1644,8,0,68,621,29
646,"【本体】",1589,2,0,7,313,29
647,momo_L,1592,7,0,0,0,29
648,momo_R,1593,7,0,0,0,29
649,head,1568,7,0,0,0,29
650,wepA_L_in,1633,8,0,73,626,29
651,wepC_R_in,1640,8,0,77,630,29
652,wepD_L_out,1641,8,0,65,618,29
653,wepE_R_out,1644,8,0,69,622,29
654,"【本体】",1589,11,0,7,343,29
655,momo_L,1592,12,0,0,0,29
656,momo_R,1593,12,0,0,0,29
657,head,1568,12,0,0,0,29
658,wepA_L_in,1633,8,0,73,626,29
659,wepC_R_in,1640,8,0,77,630,29
660,wepD_L_out,1641,8,0,65,618,29
661,wepE_R_out,1644,8,0,69,622,29
662,"【本体】",1589,2,0,7,313,33
663,momo_L,1592,7,0,0,0,33
664,momo_R,1593,7,0,0,0,33
665,head,1568,7,0,0,0,33
666,wepA_L_in,1633,8,0,72,625,33
667,wepC_R_in,1640,8,0,76,629,33
668,wepD_L_out,1641,8,0,64,617,33
669,wepE_R_out,1644,8,0,68,621,33
670,"【本体】",1589,2,0,7,313,33
671,momo_L,1592,7,0,0,0,33
672,momo_R,1593,7,0,0,0,33
673,head,1568,7,0,0,0,33
674,wepA_L_in,1633,8,0,73,626,33
675,wepC_R_in,1640,8,0,77,630,33
676,wepD_L_out,1641,8,0,65,618,33
677,wepE_R_out,1644,8,0,69,622,33
678,"【本体】",1589,11,0,7,347,33
679,momo_L,1592,12,0,0,0,33
680,momo_R,1593,12,0,0,0,33
681,head,1568,12,0,0,0,33
682,wepA_L_in,1633,8,0,72,625,33
683,wepC_R_in,1640,8,0,107,660,33
684,wepD_L_out,1641,8,0,106,659,33
685,wepE_R_out,1644,8,0,105,658,33
686,"【本体】",1589,2,0,7,313,30
687,momo_L,1592,7,0,0,0,30
688,momo_R,1593,7,0,0,0,30
